season,method,avg_fan_weight,avg_correlation
1,percentage,0.6,0.6072446444385186
1,rank,0.5,0.33999999999999997
2,percentage,0.6,0.8835803637451453
2,rank,0.5,-0.010119047619047625
3,percentage,0.6,0.6317379129591487
3,rank,0.5,0.2766714766714767
4,percentage,0.6,0.6110864805997116
4,rank,0.5,-0.04253246753246752
5,percentage,0.6,0.6080683652817417
5,rank,0.5,0.12198801198801199
6,percentage,0.6,0.6401026696290686
6,rank,0.5,-0.3054012654012654
7,percentage,0.6,0.6698988232333635
7,rank,0.5,-0.2852930402930403
8,percentage,0.6,0.8080217028887418
8,rank,0.5,-0.10141676505312872
9,percentage,0.6,0.691020246267655
9,rank,0.5,0.24238800415271006
10,percentage,0.6,0.7608765249584407
10,rank,0.5,-0.23443722943722944
11,percentage,0.6,0.6262437695652975
11,rank,0.5,0.19633533133533132
12,percentage,0.6,0.5452928179267142
12,rank,0.5,0.180995670995671
13,percentage,0.6,0.7196088413185182
13,rank,0.5,0.03467698967698969
14,percentage,0.6,0.6940006585144426
14,rank,0.5,-0.11595571095571096
15,percentage,0.6,0.5878832358695099
15,rank,0.5,-0.1105710955710956
16,percentage,0.6,0.6622130085595905
16,rank,0.5,0.11709790209790212
17,percentage,0.6,0.631436779245501
17,rank,0.5,0.21745981291435837
18,percentage,0.6,0.7760758167000682
18,rank,0.5,-0.18209790209790208
19,percentage,0.6,0.7434823516501333
19,rank,0.5,0.17697302697302694
20,percentage,0.6,0.7319363536317283
20,rank,0.5,0.3018331668331668
