season,week,voting_phase,method,total_contestants,judge_reversal,fan_reversal,judge_reversal_strength,fan_reversal_strength,judge_bottom_contestants,fan_bottom_contestants,eliminated_contestants,judge_reversal_numeric,fan_reversal_numeric,power_struggle_index
1,2,rank_regular,rank,6,True,True,0.6666666666666666,1.0,Evander Holyfield,"John O'Hurley, Kelly Monaco, Evander Holyfield, Rachel Hunter, Joey McIntyre, Trista Sutter",Trista Sutter,1,1,0
1,3,rank_regular,rank,5,False,True,0.0,1.0,Evander Holyfield,"John O'Hurley, Kelly Monaco, Evander Holyfield, Rachel Hunter, Joey McIntyre",Evander Holyfield,0,1,-1
1,4,rank_regular,rank,4,True,True,0.25,1.0,Joey McIntyre,"John O'Hurley, Kelly Monaco, Rachel Hunter, Joey McIntyre",Rachel Hunter,1,1,0
1,5,rank_regular,rank,3,False,True,0.0,1.0,Joey McIntyre,"John O'Hurley, Kelly Monaco, Joey McIntyre",Joey McIntyre,0,1,-1
1,6,rank_regular,rank,2,False,False,0.0,0.0,John O'Hurley,"John O'Hurley, Kelly Monaco","John O'Hurley, Kelly Monaco",0,0,0
2,1,rank_regular,rank,10,True,True,0.4,0.4,Master P,Lisa Rinna,Kenny Mayne,1,1,0
2,2,rank_regular,rank,9,True,False,0.5555555555555556,0.0,Master P,Tatum O'Neal,Tatum O'Neal,1,0,1
2,3,rank_regular,rank,8,True,False,0.875,0.0,Master P,Giselle Fernandez,Giselle Fernandez,1,0,1
2,4,rank_regular,rank,7,False,True,0.0,1.0,Master P,"Tia Carrere, George Hamilton, Lisa Rinna, Stacy Keibler, Jerry Rice, Master P, Drew Lachey",Master P,0,1,-1
2,5,rank_regular,rank,6,False,True,0.0,1.0,Tia Carrere,"Tia Carrere, George Hamilton, Lisa Rinna, Stacy Keibler, Jerry Rice, Drew Lachey",Tia Carrere,0,1,-1
2,6,rank_regular,rank,5,True,True,0.4,1.0,"George Hamilton, Jerry Rice","George Hamilton, Lisa Rinna, Stacy Keibler, Jerry Rice, Drew Lachey",George Hamilton,1,1,0
2,7,rank_regular,rank,4,True,True,0.5,1.0,Jerry Rice,"Lisa Rinna, Stacy Keibler, Jerry Rice, Drew Lachey",Lisa Rinna,1,1,0
2,8,rank_regular,rank,3,False,False,0.0,0.0,Jerry Rice,"Stacy Keibler, Jerry Rice, Drew Lachey","Stacy Keibler, Jerry Rice, Drew Lachey",0,0,0
3,1,percentage_regular,percentage,11,False,False,0.0,0.0,Tucker Carlson,Tucker Carlson,Tucker Carlson,0,0,0
3,2,percentage_regular,percentage,10,True,True,0.1,0.1,Jerry Springer,Jerry Springer,Shanna Moakler,1,1,0
3,3,percentage_regular,percentage,9,True,True,0.3333333333333333,0.2222222222222222,Emmitt Smith,Jerry Springer,Harry Hamlin,1,1,0
3,4,percentage_regular,percentage,8,True,True,0.375,0.5,Sara Evans,Monique Coleman,Vivica A. Fox,1,1,0
3,5,percentage_regular,percentage,7,True,False,0.2857142857142857,0.0,"Sara Evans, Jerry Springer",Sara Evans,"Willa Ford, Sara Evans",1,0,1
3,7,percentage_regular,percentage,5,False,False,0.0,0.0,Jerry Springer,Jerry Springer,Jerry Springer,0,0,0
3,8,percentage_regular,percentage,4,False,False,0.0,0.0,Monique Coleman,Monique Coleman,Monique Coleman,0,0,0
3,9,percentage_regular,percentage,3,True,True,0.6666666666666666,0.3333333333333333,"Joey Lawrence, Mario Lopez, Emmitt Smith",Emmitt Smith,Joey Lawrence,1,1,0
3,10,percentage_regular,percentage,2,False,False,0.0,0.0,"Mario Lopez, Emmitt Smith",Emmitt Smith,"Mario Lopez, Emmitt Smith",0,0,0
4,2,percentage_regular,percentage,11,True,True,0.18181818181818182,0.36363636363636365,Clyde Drexler,Billy Ray Cyrus,Paulina Porizkova,1,1,0
4,3,percentage_regular,percentage,10,True,True,0.1,0.1,Clyde Drexler,Clyde Drexler,Shandi Finnessey,1,1,0
