season,method,avg_fan_weight,avg_correlation
1,percentage,0.6,0.588312056354103
1,rank,0.5,0.33999999999999997
2,percentage,0.6,0.7461783312925734
2,rank,0.5,-0.1675865800865801
3,percentage,0.6,0.5371368447377161
3,rank,0.5,0.12380952380952384
4,percentage,0.6,0.7558564545967058
4,rank,0.5,-0.20777056277056274
5,percentage,0.6,0.7203851479512917
5,rank,0.5,0.05342657342657342
6,percentage,0.6,0.7514587808662606
6,rank,0.5,-0.29853646353646357
7,percentage,0.6,0.7180521086327134
7,rank,0.5,-0.250018315018315
8,percentage,0.6,0.7124744161644195
8,rank,0.5,0.034843943934853024
9,percentage,0.6,0.48776817092118296
9,rank,0.5,0.13114189731836792
10,percentage,0.6,0.7448045662481007
10,rank,0.5,-0.05963203463203461
11,percentage,0.6,0.6592087885385262
11,rank,0.5,0.1309057609057609
12,percentage,0.6,0.6802028574507746
12,rank,0.5,0.10597402597402598
13,percentage,0.6,0.5955413866960797
13,rank,0.5,0.05054612054612055
14,percentage,0.6,0.7866101229354074
14,rank,0.5,-0.007614052614052602
15,percentage,0.6,0.570167652691187
15,rank,0.5,-0.3454512154512155
16,percentage,0.6,0.7690365730151916
16,rank,0.5,-0.18278388278388277
17,percentage,0.6,0.651172709618844
17,rank,0.5,0.2301652892561984
18,percentage,0.6,0.7462413450027408
18,rank,0.5,-0.01767066267066264
19,percentage,0.6,0.7768978011188434
19,rank,0.5,0.006914297823388735
20,percentage,0.6,0.8666946580041712
20,rank,0.5,0.34884615384615386
