season,week,original_eliminated,simulated_eliminated,match,actual_bottom_two,simulated_bottom_two,judge_score_original,judge_score_simulated
28,2,Ray Lewis,James Van Der Beek,False,"['Kate Flannery', 'James Van Der Beek', 'Sean Spicer']","['James Van Der Beek', 'Kate Flannery']",15.0,20.0
28,4,Lamar Odom,James Van Der Beek,False,"['Kate Flannery', 'James Van Der Beek', 'Sean Spicer']","['James Van Der Beek', 'Kel Mitchell']",20.0,28.0
28,6,Sailor Brinkley-Cook,Kate Flannery,False,"['Kate Flannery', 'James Van Der Beek', 'Sean Spicer']","['James Van Der Beek', 'Kate Flannery']",27.0,27.0
28,7,Karamo Brown,James Van Der Beek,False,"['Kate Flannery', 'James Van Der Beek', 'Sean Spicer']","['Lauren Alaina', 'James Van Der Beek']",24.5,27.0
28,8,Kate Flannery,Kate Flannery,True,"['Kate Flannery', 'James Van Der Beek', 'Sean Spicer']","['Kate Flannery', 'James Van Der Beek']",25.9998,25.9998
28,9,Sean Spicer,James Van Der Beek,False,"['James Van Der Beek', 'Sean Spicer']","['James Van Der Beek', 'Kel Mitchell']",25.0,36.0
29,2,Charles Oakley,Jesse Metcalfe,False,"['Chrishell Stause', 'Skai Jackson', 'Johnny Weir', 'AJ McLean']","['Justina Machado', 'Jesse Metcalfe']",15.0,20.0
29,3,Carole Baskin,Chrishell Stause,False,"['Chrishell Stause', 'Skai Jackson', 'Johnny Weir', 'AJ McLean']","['Johnny Weir', 'Chrishell Stause']",12.0,22.0
29,4,Anne Heche,Justina Machado,False,"['Chrishell Stause', 'Skai Jackson', 'Johnny Weir', 'AJ McLean']","['Justina Machado', 'Skai Jackson']",21.0,24.0
29,5,Jesse Metcalfe,Skai Jackson,False,"['Chrishell Stause', 'Skai Jackson', 'Johnny Weir', 'AJ McLean']","['Skai Jackson', 'Johnny Weir']",19.0,24.0
29,6,Veron Davis,Chrishell Stause,False,"['Chrishell Stause', 'Skai Jackson', 'Johnny Weir', 'AJ McLean']","['Chrishell Stause', 'Justina Machado']",21.0,24.0
29,7,Monica Aldama,Skai Jackson,False,"['Chrishell Stause', 'Skai Jackson', 'Johnny Weir', 'AJ McLean']","['Nev Schulman', 'Skai Jackson']",22.0,27.0
29,8,Chrishell Stause,Justina Machado,False,"['Chrishell Stause', 'Skai Jackson', 'Johnny Weir', 'AJ McLean']","['Justina Machado', 'Johnny Weir']",27.0,28.9998
29,9,AJ McLean,Skai Jackson,False,"['Skai Jackson', 'Johnny Weir', 'AJ McLean']","['Skai Jackson', 'Johnny Weir']",24.9998,28.9998
29,10,Skai Jackson,Johnny Weir,False,"['Skai Jackson', 'Johnny Weir']","['Skai Jackson', 'Johnny Weir']",28.5,28.5
30,2,Martin Kove,Melora Hardin,False,"['Melora Hardin', 'Mike ""The Miz"" Mizanin', 'Suni Lee', 'Jimmie Allen', 'Olivia Jade']","['Suni Lee', 'Melora Hardin']",15.0,27.0
30,3,Christine Chiu,"Mike ""The Miz"" Mizanin",False,"['Melora Hardin', 'Mike ""The Miz"" Mizanin', 'Suni Lee', 'Jimmie Allen', 'Olivia Jade']","['Mike ""The Miz"" Mizanin', 'Melora Hardin']",21.0,22.0
30,4,Brian Austin Green,Suni Lee,False,"['Melora Hardin', 'Mike ""The Miz"" Mizanin', 'Suni Lee', 'Jimmie Allen', 'Olivia Jade']","['Suni Lee', 'Melora Hardin']",26.0,34.0
30,5,Melanie C,Melora Hardin,False,"['Melora Hardin', 'Mike ""The Miz"" Mizanin', 'Suni Lee', 'Jimmie Allen', 'Olivia Jade']","['Suni Lee', 'Melora Hardin']",36.0,36.0
30,6,Kenya Moore,Suni Lee,False,"['Melora Hardin', 'Mike ""The Miz"" Mizanin', 'Suni Lee', 'Jimmie Allen', 'Olivia Jade']","['Suni Lee', 'Iman Shumpert']",32.0,36.0
30,7,"Mike ""The Miz"" Mizanin",Melora Hardin,False,"['Melora Hardin', 'Mike ""The Miz"" Mizanin', 'Suni Lee', 'Jimmie Allen', 'Olivia Jade']","['Olivia Jade', 'Melora Hardin']",32.0,38.0
30,8,Jimmie Allen,Melora Hardin,False,"['Melora Hardin', 'Suni Lee', 'Jimmie Allen', 'Olivia Jade']","['Suni Lee', 'Melora Hardin']",32.0,42.0
30,9,Melora Hardin,Melora Hardin,True,"['Melora Hardin', 'Suni Lee']","['Melora Hardin', 'Suni Lee']",36.0,36.0
31,1,Jason Lewis,Selma Blair,False,"['Trevor Donovan', 'Daniel Durant', 'Jordin Sparks', ""Heidi D'Amelio"", 'Vinny Guadagnino']","['Wayne Brady', 'Selma Blair']",18.0,28.0
31,2,Teresa Giudice,Trevor Donovan,False,"['Trevor Donovan', 'Daniel Durant', 'Jordin Sparks', ""Heidi D'Amelio"", 'Vinny Guadagnino']","['Trevor Donovan', 'Wayne Brady']",23.0,30.0
31,3,Cheryl Ladd,Daniel Durant,False,"['Trevor Donovan', 'Daniel Durant', 'Jordin Sparks', ""Heidi D'Amelio"", 'Vinny Guadagnino']","['Daniel Durant', 'Wayne Brady']",24.0,31.0
31,4,Sam Champion,Selma Blair,False,"['Trevor Donovan', 'Daniel Durant', 'Jordin Sparks', ""Heidi D'Amelio"", 'Vinny Guadagnino']","['Selma Blair', 'Wayne Brady']",25.0,32.0
31,5,Selma Blair,Selma Blair,True,"['Trevor Donovan', 'Daniel Durant', 'Jordin Sparks', ""Heidi D'Amelio"", 'Vinny Guadagnino']","['Wayne Brady', 'Selma Blair']",40.0,40.0
