,,fan_vote_cv,fan_vote_cv,fan_vote_cv,fan_vote_cv,fan_vote_std,fan_vote_ci_width
,,mean,std,min,max,mean,mean
season,week,,,,,,
1,1,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0.0,0.0,0.0,0.0,0.0,0.0
1,4,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.0,0.0,0.0,0.0,0.0,0.0
1,6,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0.059522,0.019012,0.029801,0.08303,0.005841,0.019393
2,2,0.050606,0.016121,0.026199,0.076257,0.005614,0.020039
2,3,0.055899,0.022614,0.021008,0.087677,0.006801,0.022568
2,4,0.0,0.0,0.0,0.0,0.0,0.0
2,5,0.0,0.0,0.0,0.0,0.0,0.0
2,6,0.0,0.0,0.0,0.0,0.0,0.0
2,7,0.0,0.0,0.0,0.0,0.0,0.0
2,8,0.0,0.0,0.0,0.0,0.0,0.0
3,1,0.034391,0.006065,0.022713,0.041677,0.003155,0.010686
3,2,0.047573,0.007682,0.039427,0.06402,0.004682,0.0157
3,3,0.050637,0.007474,0.040723,0.060026,0.005738,0.019635
3,4,0.04648,0.006065,0.040773,0.058476,0.005872,0.018948
3,5,0.0,0.0,0.0,0.0,0.0,0.0
3,6,0.022018,0.002741,0.018422,0.025541,0.004403,0.015387
3,7,0.034996,0.003668,0.030678,0.039667,0.006833,0.023102
3,8,0.036649,0.00216,0.034813,0.039553,0.009146,0.030282
3,9,0.030216,0.006677,0.026215,0.037924,0.009292,0.030738
3,10,0.034435,0.000283,0.034235,0.034635,0.017217,0.064166
4,1,0.018146,0.002201,0.014476,0.020655,0.001652,0.005627
4,2,0.048236,0.008113,0.036276,0.061161,0.004305,0.01466
4,3,0.049954,0.008803,0.038301,0.069561,0.00506,0.017137
4,4,0.036401,0.004595,0.027597,0.042476,0.00398,0.013439
4,5,0.035371,0.006316,0.026239,0.042762,0.004452,0.015132
4,6,0.039737,0.008981,0.029956,0.056986,0.00535,0.018582
4,7,0.040143,0.006056,0.03323,0.048212,0.006782,0.02341
4,8,0.03582,0.004798,0.028452,0.039542,0.007426,0.027119
4,9,0.034851,0.001838,0.033143,0.037417,0.008566,0.029086
4,10,0.025925,0.003432,0.023262,0.029798,0.008649,0.027013
5,1,0.033484,0.003632,0.027132,0.038194,0.002795,0.00949
5,2,0.052682,0.010705,0.04098,0.073003,0.004823,0.016696
5,3,0.035166,0.006544,0.0257,0.045952,0.003516,0.011908
5,4,0.040621,0.005558,0.032274,0.047398,0.004607,0.015007
5,5,0.033579,0.003707,0.027135,0.038302,0.004129,0.014006
5,6,0.04789,0.009884,0.030651,0.063464,0.006874,0.022412
5,7,0.040707,0.006484,0.03388,0.049353,0.006583,0.022461
5,8,0.039772,0.003908,0.035916,0.045271,0.007843,0.026413
5,9,0.032877,0.006809,0.024843,0.041454,0.008204,0.028864
5,10,0.022871,0.001529,0.021245,0.024281,0.007616,0.025781
6,1,0.016625,0.002207,0.012969,0.021685,0.001385,0.004721
6,2,0.0,0.0,0.0,0.0,0.0,0.0
6,3,0.045012,0.007083,0.034814,0.053504,0.004589,0.015345
6,4,0.035462,0.003373,0.0303,0.040895,0.003939,0.013351
6,5,0.040263,0.005537,0.033872,0.048219,0.00511,0.016902
6,6,0.036598,0.005977,0.026578,0.044972,0.005413,0.01936
6,7,0.046402,0.011021,0.033705,0.059791,0.00803,0.026847
6,8,0.040253,0.004338,0.035637,0.044893,0.008211,0.027743
6,9,0.042718,0.004931,0.037301,0.049094,0.010979,0.036711
6,10,0.025356,0.004369,0.022113,0.030324,0.008434,0.029042
7,1,0.0,0.0,0.0,0.0,0.0,0.0
7,2,0.0,0.0,0.0,0.0,0.0,0.0
7,3,0.019196,0.003225,0.01443,0.024021,0.002128,0.007153
7,4,0.03697,0.004397,0.029031,0.043191,0.00404,0.013748
7,5,0.044178,0.004945,0.03746,0.053441,0.005536,0.018146
7,6,0.030355,0.002827,0.027705,0.033719,0.004364,0.015406
7,7,0.046884,0.008487,0.039572,0.061326,0.00744,0.024885
7,8,0.040589,0.006708,0.029611,0.046882,0.008519,0.02833
7,9,0.029077,0.004825,0.025331,0.036155,0.007354,0.024189
7,10,0.029864,0.005624,0.024986,0.036015,0.009964,0.035682
8,1,0.017322,0.002902,0.011619,0.021026,0.001335,0.004518
8,2,0.044137,0.007824,0.032687,0.056301,0.003362,0.011433
8,3,0.040668,0.009024,0.026345,0.054339,0.00333,0.010936
8,4,0.0,0.0,0.0,0.0,0.0,0.0
8,5,0.046823,0.012365,0.032922,0.063604,0.005162,0.017842
8,6,0.029802,0.006309,0.016166,0.034424,0.003673,0.012686
8,7,0.041038,0.008085,0.028727,0.052692,0.005877,0.020522
8,8,0.04398,0.002171,0.042014,0.047543,0.007363,0.023949
8,9,0.035809,0.005074,0.029017,0.041407,0.007068,0.023542
8,10,0.037262,0.006394,0.030677,0.044578,0.009675,0.0307
8,11,0.034198,0.005727,0.027759,0.038723,0.011405,0.038301
9,1,0.0,0.0,0.0,0.0,0.0,0.0
9,2,0.039302,0.006986,0.024174,0.050793,0.002825,0.009409
9,3,0.0,0.0,0.0,0.0,0.0,0.0
9,4,0.040084,0.00782,0.027643,0.051902,0.003603,0.012745
9,5,0.044256,0.007757,0.035117,0.056933,0.004379,0.015158
9,6,0.0,0.0,0.0,0.0,0.0,0.0
9,7,0.0,0.0,0.0,0.0,0.0,0.0
9,8,0.035993,0.005518,0.028977,0.041712,0.007003,0.024168
9,9,0.045365,0.014313,0.031169,0.06416,0.010272,0.035368
9,10,0.028085,0.005146,0.022143,0.03107,0.009375,0.031185
10,1,0.01649,0.002769,0.01132,0.021355,0.001499,0.005096
10,2,0.057393,0.010582,0.044471,0.081189,0.005254,0.018219
10,3,0.030967,0.004062,0.024646,0.037667,0.003147,0.01086
10,4,0.044035,0.009438,0.032838,0.063877,0.004901,0.017056
10,5,0.038845,0.003252,0.034497,0.04491,0.004881,0.017026
10,6,0.03482,0.004447,0.030227,0.041225,0.004859,0.016392
10,7,0.048231,0.004726,0.042928,0.053713,0.007884,0.027306
10,8,0.035953,0.003701,0.031958,0.040416,0.007339,0.024483
10,9,0.033396,0.009513,0.020021,0.041282,0.008375,0.02927
10,10,0.028473,0.001106,0.027329,0.029536,0.009492,0.032142
11,1,0.03558,0.004309,0.030038,0.041466,0.002998,0.010327
11,2,0.028692,0.00681,0.021588,0.042108,0.002656,0.009024
11,3,0.032529,0.004129,0.025233,0.040144,0.003248,0.011299
11,4,0.033715,0.002661,0.030459,0.038718,0.003726,0.012577
11,5,0.040133,0.010432,0.026356,0.05876,0.004722,0.017393
11,6,0.055399,0.010311,0.039042,0.069994,0.007686,0.027026
11,7,0.046476,0.008792,0.036494,0.058797,0.007984,0.028407
11,8,0.038077,0.005952,0.028534,0.043907,0.00752,0.026346
11,9,0.041693,0.009069,0.029579,0.050828,0.010165,0.035197
11,10,0.028639,0.002734,0.026447,0.031703,0.009554,0.032486
12,1,0.017257,0.003181,0.013519,0.021555,0.001572,0.00533
12,2,0.039708,0.006947,0.032041,0.051828,0.003622,0.011996
12,3,0.032372,0.004784,0.023381,0.04104,0.003317,0.011404
12,4,0.045524,0.008165,0.034039,0.05817,0.005184,0.017802
12,5,0.041839,0.005299,0.036863,0.052032,0.005197,0.017504
12,6,0.038176,0.005832,0.029788,0.045125,0.005608,0.019021
12,7,0.046526,0.007027,0.035919,0.053362,0.007637,0.02729
12,8,0.04129,0.009483,0.030709,0.050539,0.007889,0.027322
12,9,0.039351,0.003949,0.033638,0.042308,0.009676,0.033856
12,10,0.017892,0.003946,0.01432,0.022127,0.005954,0.020148
13,1,0.038892,0.004491,0.030893,0.045314,0.003232,0.010737
13,2,0.054931,0.011022,0.043065,0.082062,0.004913,0.016691
13,3,0.055075,0.006283,0.046648,0.061719,0.005438,0.018156
13,4,0.037114,0.006281,0.028665,0.048156,0.003992,0.013837
13,5,0.03913,0.005191,0.031606,0.044492,0.004946,0.017386
13,6,0.036782,0.003168,0.033766,0.043012,0.005243,0.018403
13,7,0.049972,0.006667,0.044336,0.058506,0.008468,0.029677
13,8,0.034977,0.006643,0.029535,0.046265,0.006979,0.02434
13,9,0.036511,0.008941,0.028858,0.048849,0.008444,0.028461
13,10,0.027419,0.001662,0.025505,0.028493,0.009141,0.032313
14,1,0.01646,0.002847,0.012146,0.021149,0.001371,0.004609
14,2,0.033617,0.004571,0.02496,0.040578,0.002855,0.009793
14,3,0.041957,0.006426,0.032229,0.051677,0.003809,0.013218
14,4,0.039556,0.009066,0.023713,0.050438,0.00405,0.013658
14,5,0.030684,0.006829,0.018077,0.039351,0.003548,0.012002
14,6,0.033813,0.00621,0.025409,0.04326,0.004341,0.014378
14,7,0.041281,0.005418,0.032911,0.05039,0.005896,0.020213
14,8,0.0,0.0,0.0,0.0,0.0,0.0
14,9,0.03656,0.006964,0.031417,0.046213,0.008578,0.030185
14,10,0.026336,0.002815,0.023681,0.029287,0.008778,0.030958
15,1,0.032902,0.004966,0.025439,0.041709,0.00254,0.008675
15,2,0.044212,0.007329,0.033129,0.057403,0.003681,0.012322
15,3,0.0,0.0,0.0,0.0,0.0,0.0
15,4,0.036615,0.00857,0.025646,0.050834,0.004189,0.014027
15,5,0.020149,0.002869,0.014256,0.022967,0.002517,0.008825
15,6,0.045964,0.009439,0.031023,0.05743,0.005717,0.019312
15,7,0.019373,0.002392,0.016399,0.022631,0.002765,0.009451
15,8,0.0,0.0,0.0,0.0,0.0,0.0
15,9,0.0,0.0,0.0,0.0,0.0,0.0
15,10,0.025764,0.002335,0.024382,0.02846,0.008588,0.027989
16,1,0.016167,0.002629,0.011831,0.019492,0.001346,0.004674
16,2,0.029198,0.006659,0.019088,0.038439,0.002428,0.008288
16,3,0.033973,0.005469,0.024625,0.041073,0.003157,0.011067
16,4,0.035677,0.007029,0.024778,0.048124,0.003557,0.012171
16,5,0.033605,0.004489,0.029014,0.040153,0.003758,0.0129
16,6,0.038094,0.008302,0.023165,0.044779,0.00467,0.015903
16,7,0.028159,0.005579,0.022122,0.036423,0.004125,0.014583
16,8,0.034698,0.005992,0.025224,0.040861,0.005729,0.021126
16,9,0.035612,0.003329,0.030356,0.038827,0.007045,0.024385
16,10,0.026034,0.003754,0.022816,0.031433,0.006509,0.021279
17,1,0.017569,0.002568,0.012443,0.021913,0.001465,0.004985
17,2,0.037498,0.006172,0.025468,0.046331,0.003128,0.01058
17,3,0.033699,0.008282,0.020525,0.045735,0.003164,0.010991
17,4,0.036811,0.005068,0.031915,0.04643,0.003628,0.012316
17,5,0.057904,0.010388,0.043884,0.071184,0.006313,0.021348
17,6,0.017425,0.003423,0.011809,0.023381,0.002179,0.00732
17,7,0.044805,0.007954,0.032503,0.057478,0.005616,0.018719
17,8,0.047785,0.007014,0.037984,0.056744,0.006877,0.024331
17,9,0.050436,0.007016,0.041029,0.061916,0.008404,0.027603
17,10,0.039846,0.005855,0.033391,0.048674,0.008056,0.027322
17,11,0.026962,0.002557,0.023763,0.029903,0.006752,0.022803
18,1,0.035997,0.006059,0.030698,0.052783,0.003023,0.010473
18,2,0.0,0.0,0.0,0.0,0.0,0.0
18,3,0.0191,0.003973,0.014613,0.024298,0.002122,0.007322
18,4,0.018474,0.002636,0.014762,0.022945,0.002052,0.007048
18,5,0.041764,0.010042,0.027599,0.057118,0.004795,0.016461
18,6,0.038269,0.005442,0.030799,0.045574,0.004874,0.017421
18,7,0.039184,0.006621,0.028506,0.048365,0.005561,0.019198
18,8,0.05026,0.009918,0.041696,0.068264,0.007916,0.026675
18,9,0.042959,0.003542,0.038173,0.047547,0.008663,0.030134
18,10,0.0247,0.005588,0.019337,0.032511,0.006159,0.021418
19,1,0.032411,0.005347,0.026402,0.041394,0.002525,0.008645
19,2,0.043933,0.007089,0.031533,0.055677,0.003657,0.012434
19,3,0.035328,0.005342,0.028171,0.047442,0.003265,0.011213
19,4,0.04435,0.008643,0.030322,0.059705,0.004419,0.015221
19,5,0.018612,0.003131,0.014036,0.02291,0.002063,0.007398
19,6,0.04839,0.005036,0.041335,0.055699,0.005287,0.016765
19,7,0.04284,0.009024,0.026932,0.051266,0.005435,0.018893
19,8,0.028428,0.003979,0.02366,0.033899,0.004062,0.01438
19,9,0.04564,0.006391,0.034997,0.052188,0.007888,0.026523
19,10,0.037893,0.004262,0.031587,0.042542,0.0078,0.027164
19,11,0.023307,0.003893,0.018683,0.026922,0.005824,0.019643
20,1,0.016943,0.00228,0.012405,0.021319,0.001414,0.004788
20,2,0.064926,0.005965,0.050864,0.071498,0.005413,0.018957
20,3,0.035655,0.005268,0.02472,0.044225,0.003243,0.011084
20,4,0.040049,0.006748,0.02707,0.050607,0.004032,0.013896
20,5,0.044555,0.008443,0.032246,0.063158,0.004987,0.016663
20,6,0.042707,0.009516,0.024859,0.052391,0.005373,0.018292
20,7,0.056997,0.011747,0.042563,0.073325,0.007879,0.027139
20,8,0.0,0.0,0.0,0.0,0.0,0.0
20,9,0.037703,0.003099,0.033961,0.041359,0.009219,0.032054
20,10,0.020112,0.000545,0.019636,0.020707,0.006704,0.023625
21,1,0.016452,0.003109,0.011256,0.021772,0.001265,0.004251
21,2,0.0,0.0,0.0,0.0,0.0,0.0
21,3,0.017782,0.001955,0.014507,0.020733,0.001778,0.006011
21,4,0.029286,0.004475,0.022455,0.037147,0.002988,0.010187
21,5,0.018461,0.002388,0.013489,0.020786,0.002053,0.007156
21,6,0.030902,0.00644,0.021218,0.041165,0.003504,0.011847
21,7,0.052852,0.007973,0.045671,0.070806,0.006709,0.02243
21,8,0.042519,0.002306,0.03912,0.045444,0.006069,0.02007
21,9,0.0,0.0,0.0,0.0,0.0,0.0
21,10,0.023568,0.003631,0.019479,0.028201,0.005898,0.020871
21,11,0.023533,0.003021,0.020961,0.027653,0.005885,0.019081
22,1,0.016461,0.001819,0.012979,0.019962,0.00137,0.004702
22,2,0.033825,0.005417,0.024291,0.044317,0.002877,0.010004
22,3,0.039061,0.004146,0.031781,0.043945,0.003525,0.012019
22,4,0.044994,0.006005,0.032169,0.056124,0.004516,0.014885
22,5,0.016637,0.002052,0.013687,0.019986,0.001846,0.006293
22,6,0.034515,0.006805,0.025084,0.041244,0.00393,0.013564
