feature,importance,importance_percent
celebrity_age_during_season,0.012934648,29.586098
pro_experience,0.011600794,26.535103
age_industry_simplified_Other,0.0037070552,8.4793415
experience_industry_simplified_Athlete,0.0031357387,7.172539
age_industry_simplified_Athlete,0.0025542155,5.8423905
age_industry_simplified_Singer,0.0014530752,3.3236952
experience_industry_simplified_Other,0.0013315702,3.0457702
is_american_True,0.0012013261,2.7478561
experience_industry_simplified_Singer,0.001137261,2.6013167
industry_simplified_Comedian,0.0007325326,1.6755601
age_industry_simplified_Model,0.0006740788,1.5418557
age_industry_simplified_Comedian,0.0006594268,1.5083413
industry_simplified_Model,0.0006057701,1.3856096
industry_simplified_Other,0.0005185524,1.1861119
industry_simplified_Singer,0.00034945816,0.79933393
experience_industry_simplified_Comedian,0.0002712446,0.6204319
industry_simplified_Athlete,0.0002450691,0.5605594
industry_simplified_Politician,0.00019725497,0.4511916
experience_industry_simplified_Model,0.000166044,0.37980115
age_industry_simplified_Politician,0.00012789248,0.29253516
industry_simplified_Musician,0.000102127706,0.23360203
experience_industry_simplified_Politician,1.3533777e-05,0.030956516
age_industry_simplified_Musician,0.0,0.0
experience_industry_simplified_Musician,0.0,0.0
