feature,importance,importance_percent
celebrity_age_during_season,0.47814718,38.26495
pro_experience,0.26304135,21.050554
age_industry_simplified_Athlete,0.101908624,8.155498
age_industry_simplified_Other,0.10157028,8.128421
experience_industry_simplified_Other,0.04787428,3.8312614
experience_industry_simplified_Athlete,0.045884963,3.6720612
experience_industry_simplified_Singer,0.036766894,2.9423645
age_industry_simplified_Singer,0.03536078,2.8298366
industry_simplified_Comedian,0.026275365,2.1027532
is_american_True,0.02530119,2.0247924
industry_simplified_Model,0.017452007,1.3966414
industry_simplified_Other,0.014621101,1.1700909
industry_simplified_Politician,0.01423965,1.1395644
industry_simplified_Athlete,0.008077412,0.6464155
age_industry_simplified_Model,0.007920736,0.63387716
experience_industry_simplified_Comedian,0.0073769703,0.5903609
experience_industry_simplified_Model,0.007141998,0.5715566
age_industry_simplified_Comedian,0.005644415,0.45170873
industry_simplified_Singer,0.0038010639,0.30418983
industry_simplified_Musician,0.00092485984,0.07401427
experience_industry_simplified_Politician,0.00023846667,0.019083904
age_industry_simplified_Musician,0.0,0.0
experience_industry_simplified_Musician,0.0,0.0
age_industry_simplified_Politician,0.0,0.0
