feature1,feature2,interaction_strength
celebrity_age_during_season,pro_experience,0.095712565
celebrity_age_during_season,age_industry_simplified_Other,0.046074543
celebrity_age_during_season,age_industry_simplified_Athlete,0.03312528
pro_experience,age_industry_simplified_Athlete,0.025759919
celebrity_age_during_season,experience_industry_simplified_Other,0.022804648
pro_experience,age_industry_simplified_Other,0.019573407
celebrity_age_during_season,experience_industry_simplified_Athlete,0.018742062
celebrity_age_during_season,age_industry_simplified_Singer,0.016993627
pro_experience,is_american_True,0.016219085
celebrity_age_during_season,experience_industry_simplified_Singer,0.015468387
