season,judge_reversal_rate,weeks_count,fan_reversal_rate,avg_judge_reversal_strength,avg_fan_reversal_strength,power_struggle_index
1,0.4,5,0.8,0.1833,0.8,-0.4
2,0.625,8,0.75,0.2812,0.6375,-0.125
3,0.5556,9,0.5556,0.2191,0.2216,0.0
4,0.5556,9,0.5556,0.142,0.1235,0.0
5,0.6,10,0.8,0.1063,0.2221,-0.20000000000000007
6,0.3333,9,0.6667,0.1519,0.3078,-0.3334
7,0.4444,9,0.6667,0.1841,0.3042,-0.22229999999999994
8,0.5556,9,0.6667,0.1425,0.1721,-0.11109999999999998
9,0.7,10,0.6,0.2323,0.1404,0.09999999999999998
10,0.3333,9,0.5556,0.0965,0.1627,-0.2223
11,0.6,10,0.6,0.1477,0.147,0.0
12,0.5556,9,0.6667,0.254,0.2552,-0.11109999999999998
13,0.4,10,0.6,0.0932,0.1437,-0.19999999999999996
14,0.4444,9,0.5556,0.1333,0.2358,-0.11119999999999997
15,0.5,8,0.625,0.0825,0.1696,-0.125
16,0.2222,9,0.5556,0.0358,0.2017,-0.3334
17,0.875,8,0.75,0.1628,0.1609,0.125
18,0.625,8,0.75,0.2139,0.2184,-0.125
19,0.6667,9,0.4444,0.1462,0.0413,0.22229999999999994
20,0.7778,9,0.7778,0.1662,0.1679,0.0
21,0.1667,6,0.3333,0.0208,0.0923,-0.1666
22,0.375,8,0.5,0.0958,0.1375,-0.125
23,0.75,8,0.625,0.3034,0.2788,0.125
24,0.6667,9,0.4444,0.2009,0.1422,0.22229999999999994
25,0.5,8,0.5,0.1299,0.2035,0.0
26,0.25,4,0.0,0.05,0.0,0.25
27,0.875,8,0.625,0.1821,0.1135,0.25
28,0.5714,7,0.7143,0.4031,0.6786,-0.14290000000000003
29,0.7778,9,0.8889,0.4295,0.5472,-0.11109999999999998
30,0.3333,9,0.8889,0.1335,0.5684,-0.5556000000000001
31,0.6,10,0.9,0.2277,0.645,-0.30000000000000004
32,0.7778,9,0.8889,0.488,0.5849,-0.11109999999999998
33,0.5714,7,0.8571,0.3921,0.5527,-0.28569999999999995
34,0.75,8,1.0,0.345,0.6858,-0.25
