,,fan_vote_cv,fan_vote_cv,fan_vote_cv,fan_vote_cv,fan_vote_std,fan_vote_ci_width
,,mean,std,min,max,mean,mean
season,week,,,,,,
1,1,0.0,0.0,0.0,0.0,0.0,0.0
1,2,0.0,0.0,0.0,0.0,0.0,0.0
1,3,0.0,0.0,0.0,0.0,0.0,0.0
1,4,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.0,0.0,0.0,0.0,0.0,0.0
1,6,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0.058571,0.018008,0.026521,0.077785,0.00583,0.020234
2,2,0.054974,0.013567,0.034265,0.071866,0.006083,0.021339
2,3,0.063505,0.02434,0.024107,0.094109,0.007671,0.026099
2,4,0.0,0.0,0.0,0.0,0.0,0.0
2,5,0.0,0.0,0.0,0.0,0.0,0.0
2,6,0.0,0.0,0.0,0.0,0.0,0.0
2,7,0.0,0.0,0.0,0.0,0.0,0.0
2,8,0.0,0.0,0.0,0.0,0.0,0.0
3,1,0.029768,0.006389,0.021881,0.041961,0.002688,0.00917
3,2,0.047654,0.005874,0.040125,0.058854,0.004846,0.016243
3,3,0.04988,0.005267,0.044135,0.059691,0.005541,0.019293
3,4,0.049,0.008641,0.04006,0.063563,0.006247,0.020773
3,5,0.0,0.0,0.0,0.0,0.0,0.0
3,6,0.022936,0.00512,0.017465,0.028065,0.004566,0.014922
3,7,0.037797,0.0026,0.035268,0.0412,0.007437,0.025299
3,8,0.036576,0.00901,0.028578,0.048788,0.008449,0.029319
3,9,0.035585,0.013079,0.027637,0.050681,0.010334,0.036551
3,10,0.026695,0.000256,0.026514,0.026875,0.013347,0.046287
4,1,0.017736,0.001564,0.015466,0.020318,0.001614,0.005556
4,2,0.042109,0.006544,0.031902,0.052995,0.003909,0.013724
4,3,0.050016,0.010002,0.034031,0.067719,0.00495,0.017202
4,4,0.041482,0.006118,0.03125,0.050896,0.004658,0.015442
4,5,0.032617,0.005358,0.026172,0.039408,0.004161,0.014142
4,6,0.049457,0.006031,0.040633,0.05872,0.007058,0.024401
4,7,0.043035,0.005049,0.036578,0.050576,0.007071,0.023875
4,8,0.033043,0.0048,0.02741,0.040514,0.006607,0.022054
4,9,0.036658,0.006662,0.031103,0.04574,0.008643,0.03044
4,10,0.026751,0.002378,0.025125,0.02948,0.008921,0.030402
5,1,0.030667,0.004804,0.020224,0.036724,0.002518,0.008526
5,2,0.052197,0.007098,0.043676,0.066218,0.004814,0.01654
5,3,0.033091,0.006062,0.019481,0.040665,0.00343,0.012074
5,4,0.039104,0.007098,0.031583,0.054844,0.004428,0.015158
5,5,0.037164,0.008537,0.029786,0.054579,0.004536,0.015061
5,6,0.050212,0.008155,0.037943,0.05939,0.006993,0.024093
5,7,0.045005,0.00366,0.038486,0.049054,0.007445,0.026888
5,8,0.039832,0.012147,0.027418,0.059487,0.00721,0.025802
5,9,0.035098,0.00459,0.0305,0.041232,0.008423,0.027936
5,10,0.029451,0.003711,0.025711,0.033131,0.009832,0.03262
6,1,0.016181,0.002019,0.012981,0.01847,0.001351,0.004552
6,2,0.0,0.0,0.0,0.0,0.0,0.0
6,3,0.044089,0.006361,0.034043,0.053805,0.004412,0.015374
6,4,0.035182,0.005189,0.029225,0.044865,0.003888,0.013169
6,5,0.040445,0.001748,0.038644,0.043912,0.005052,0.016708
6,6,0.036847,0.006517,0.025292,0.04361,0.005475,0.019215
6,7,0.04319,0.006246,0.036173,0.053363,0.00694,0.024378
6,8,0.043192,0.008225,0.035666,0.053699,0.008926,0.029758
6,9,0.037929,0.004803,0.034408,0.045015,0.009573,0.034249
6,10,0.03017,0.00396,0.02782,0.034742,0.010072,0.035276
7,1,0.0,0.0,0.0,0.0,0.0,0.0
7,2,0.0,0.0,0.0,0.0,0.0,0.0
7,3,0.019492,0.004065,0.012342,0.024959,0.002163,0.007466
7,4,0.03565,0.004206,0.028158,0.042655,0.004044,0.013424
7,5,0.039744,0.007657,0.031324,0.055454,0.004977,0.017199
7,6,0.033893,0.004173,0.028784,0.041768,0.004932,0.016869
7,7,0.044075,0.008932,0.034265,0.056217,0.007127,0.025077
7,8,0.035723,0.00682,0.023955,0.041698,0.007056,0.025118
7,9,0.03786,0.005664,0.031764,0.044592,0.009338,0.032478
7,10,0.021485,0.004571,0.016252,0.024697,0.007172,0.025055
8,1,0.01573,0.001974,0.01266,0.019104,0.00121,0.004039
8,2,0.046748,0.006647,0.036032,0.059233,0.003653,0.012892
8,3,0.040219,0.004847,0.033312,0.04873,0.003374,0.011813
8,4,0.0,0.0,0.0,0.0,0.0,0.0
8,5,0.043989,0.006315,0.037198,0.053881,0.004928,0.016854
8,6,0.034501,0.003453,0.03011,0.039394,0.00437,0.015346
8,7,0.039214,0.003572,0.03488,0.045349,0.005632,0.019711
8,8,0.043623,0.010271,0.032379,0.060262,0.006858,0.022976
8,9,0.035991,0.008857,0.028538,0.05022,0.006663,0.023823
8,10,0.031755,0.002216,0.029672,0.034677,0.007912,0.026699
8,11,0.025056,0.00237,0.023142,0.027707,0.008351,0.028172
9,1,0.0,0.0,0.0,0.0,0.0,0.0
9,2,0.039023,0.006389,0.024076,0.045436,0.002857,0.009788
9,3,0.0,0.0,0.0,0.0,0.0,0.0
9,4,0.038898,0.008129,0.026873,0.050929,0.003525,0.012323
9,5,0.041937,0.007589,0.030574,0.049937,0.004116,0.013778
9,6,0.0,0.0,0.0,0.0,0.0,0.0
9,7,0.0,0.0,0.0,0.0,0.0,0.0
9,8,0.041965,0.004441,0.036389,0.046657,0.008228,0.029762
9,9,0.040374,0.007424,0.031115,0.049285,0.009554,0.034829
9,10,0.02474,0.002704,0.021787,0.027096,0.008245,0.026666
10,1,0.016942,0.002489,0.013286,0.021407,0.001542,0.005289
10,2,0.060355,0.012065,0.039713,0.078203,0.005395,0.019028
10,3,0.02888,0.004725,0.023601,0.03741,0.002899,0.009727
10,4,0.041754,0.008329,0.032499,0.060685,0.004703,0.015995
10,5,0.033119,0.004409,0.02484,0.039138,0.004083,0.014191
10,6,0.035996,0.005914,0.025315,0.040793,0.005078,0.017945
10,7,0.044224,0.009879,0.030012,0.059052,0.006985,0.023519
10,8,0.033288,0.006566,0.027765,0.044601,0.006251,0.021239
10,9,0.032954,0.002935,0.028851,0.035497,0.008082,0.027637
10,10,0.024757,0.001954,0.023252,0.026966,0.008248,0.029211
11,1,0.03674,0.005924,0.027738,0.045067,0.003064,0.010237
11,2,0.02685,0.004075,0.019499,0.033694,0.002462,0.008438
11,3,0.038136,0.004101,0.032265,0.044331,0.00387,0.013448
11,4,0.032102,0.005438,0.021622,0.039311,0.003632,0.012637
11,5,0.043584,0.007365,0.03616,0.059976,0.005201,0.017802
11,6,0.054804,0.003189,0.048787,0.058385,0.007813,0.027756
11,7,0.045024,0.007499,0.03237,0.052266,0.007594,0.026888
11,8,0.041372,0.003667,0.035478,0.045345,0.008126,0.028767
11,9,0.031677,0.009135,0.024683,0.044823,0.007153,0.024532
11,10,0.025172,0.00196,0.023572,0.027358,0.008397,0.026936
12,1,0.018069,0.002728,0.011438,0.022222,0.001641,0.005617
12,2,0.039798,0.004076,0.033444,0.048531,0.003577,0.012494
12,3,0.034641,0.005807,0.02591,0.041336,0.003539,0.012087
12,4,0.043037,0.006972,0.029074,0.054344,0.004938,0.017412
12,5,0.039592,0.004703,0.03435,0.049858,0.004988,0.017105
12,6,0.036958,0.004828,0.030528,0.043423,0.005401,0.018773
12,7,0.041166,0.006907,0.035127,0.050254,0.006987,0.023414
12,8,0.042194,0.005856,0.034284,0.050071,0.008129,0.028529
12,9,0.033633,0.003131,0.029396,0.03629,0.008254,0.029095
12,10,0.020397,0.00446,0.015384,0.023929,0.006808,0.024621
13,1,0.036671,0.008059,0.024896,0.053057,0.003132,0.010745
13,2,0.052132,0.013232,0.032236,0.074731,0.004827,0.016592
13,3,0.050129,0.008643,0.031072,0.063567,0.004947,0.016532
13,4,0.042702,0.007203,0.031316,0.054016,0.004709,0.016304
13,5,0.038,0.004248,0.032604,0.043761,0.004711,0.016628
13,6,0.03497,0.00771,0.028555,0.051678,0.005056,0.017603
13,7,0.045883,0.008697,0.035166,0.057392,0.007462,0.026199
13,8,0.037937,0.002017,0.034466,0.039555,0.007532,0.025322
13,9,0.034159,0.003051,0.031629,0.037918,0.008333,0.028613
13,10,0.027975,0.000821,0.027414,0.028917,0.009324,0.030694
14,1,0.015604,0.00239,0.012468,0.021269,0.0013,0.004445
14,2,0.03213,0.00552,0.025689,0.041328,0.00271,0.009582
14,3,0.047624,0.011344,0.03653,0.075144,0.004302,0.014241
14,4,0.045542,0.004603,0.037714,0.052142,0.004548,0.015365
14,5,0.039046,0.006813,0.023651,0.044753,0.0044,0.015213
14,6,0.030751,0.00382,0.026482,0.036462,0.003777,0.012942
14,7,0.042979,0.007073,0.036131,0.05735,0.006257,0.022679
14,8,0.0,0.0,0.0,0.0,0.0,0.0
14,9,0.04286,0.002855,0.039399,0.046344,0.010687,0.036899
14,10,0.023014,0.002887,0.020649,0.026231,0.007674,0.027444
15,1,0.035913,0.006168,0.02621,0.048569,0.002814,0.009538
15,2,0.050533,0.009861,0.036245,0.06813,0.004293,0.014867
15,3,0.0,0.0,0.0,0.0,0.0,0.0
15,4,0.037303,0.003898,0.033363,0.045548,0.004116,0.014577
15,5,0.018451,0.003451,0.013892,0.024236,0.002305,0.007908
15,6,0.059337,0.009718,0.046015,0.069654,0.00729,0.025947
15,7,0.020493,0.003192,0.015749,0.025016,0.002921,0.010063
15,8,0.0,0.0,0.0,0.0,0.0,0.0
15,9,0.0,0.0,0.0,0.0,0.0,0.0
15,10,0.025598,0.003042,0.022088,0.027471,0.008537,0.028361
16,1,0.016499,0.001955,0.013499,0.019073,0.001376,0.00473
16,2,0.036142,0.006574,0.026604,0.048593,0.003072,0.010353
16,3,0.030104,0.004182,0.020259,0.035748,0.002811,0.009828
16,4,0.036272,0.006401,0.024245,0.0442,0.003737,0.012358
16,5,0.037758,0.006615,0.029312,0.048906,0.00424,0.014116
16,6,0.037819,0.006041,0.0287,0.046764,0.004801,0.016679
16,7,0.028522,0.00348,0.025186,0.035196,0.00411,0.013825
16,8,0.035866,0.003107,0.031732,0.039625,0.005967,0.020238
16,9,0.039128,0.005844,0.029315,0.044125,0.007793,0.026899
16,10,0.02461,0.00284,0.021064,0.02798,0.00615,0.021359
17,1,0.016181,0.002816,0.011887,0.019959,0.001348,0.004514
17,2,0.03593,0.004709,0.029239,0.045918,0.003022,0.010519
17,3,0.033811,0.004578,0.026443,0.04108,0.003116,0.011014
17,4,0.032387,0.004982,0.022183,0.038229,0.003237,0.011027
17,5,0.057246,0.005158,0.051043,0.066117,0.00641,0.022928
17,6,0.01963,0.004312,0.013136,0.026525,0.002446,0.008447
17,7,0.04624,0.006975,0.035957,0.057086,0.005767,0.019865
17,8,0.046819,0.006263,0.039012,0.055752,0.006741,0.024005
17,9,0.05475,0.013618,0.036008,0.068923,0.008881,0.031176
17,10,0.036192,0.009383,0.022719,0.049245,0.006749,0.022658
17,11,0.025067,0.00377,0.019895,0.028572,0.006262,0.021861
18,1,0.036425,0.006456,0.024027,0.046395,0.002999,0.01064
18,2,0.0,0.0,0.0,0.0,0.0,0.0
18,3,0.017757,0.003216,0.011506,0.021636,0.001973,0.006963
18,4,0.017756,0.003295,0.013425,0.022977,0.001975,0.006817
18,5,0.04655,0.006186,0.035371,0.055252,0.005099,0.0177
18,6,0.0398,0.011693,0.019713,0.057913,0.005098,0.017104
18,7,0.041964,0.00511,0.034747,0.047633,0.006109,0.021052
18,8,0.043432,0.010976,0.03255,0.060096,0.007375,0.024579
18,9,0.041577,0.005626,0.034684,0.050365,0.008324,0.029813
18,10,0.02351,0.004783,0.017783,0.028592,0.005868,0.020249
19,1,0.033843,0.006137,0.026571,0.046941,0.002619,0.008642
19,2,0.04291,0.008132,0.032299,0.055825,0.003644,0.012612
19,3,0.037941,0.005988,0.028476,0.047885,0.003443,0.012368
19,4,0.05142,0.007437,0.037112,0.063216,0.00527,0.018043
19,5,0.01853,0.002899,0.013281,0.022981,0.002055,0.007402
19,6,0.047244,0.009211,0.031013,0.062851,0.005178,0.017839
19,7,0.038661,0.007252,0.022031,0.045834,0.004814,0.016512
19,8,0.034999,0.004538,0.031903,0.042324,0.005018,0.017656
19,9,0.041056,0.011316,0.026154,0.054443,0.006461,0.021387
19,10,0.028439,0.004854,0.022928,0.035291,0.005582,0.018766
19,11,0.023794,0.003972,0.019745,0.028195,0.005943,0.020708
20,1,0.01616,0.00259,0.01163,0.020665,0.00135,0.004602
20,2,0.059378,0.010678,0.043597,0.075034,0.004892,0.017052
20,3,0.034842,0.006569,0.025796,0.044725,0.003191,0.011136
20,4,0.040109,0.007414,0.031728,0.05168,0.004025,0.01399
20,5,0.041171,0.006715,0.032386,0.050957,0.004571,0.015409
20,6,0.041902,0.007798,0.030774,0.052777,0.005397,0.018573
20,7,0.052651,0.010983,0.040441,0.068269,0.007584,0.026062
20,8,0.0,0.0,0.0,0.0,0.0,0.0
20,9,0.042919,0.006651,0.033364,0.047894,0.010501,0.037007
20,10,0.027257,0.005296,0.021417,0.031747,0.009077,0.030916
21,1,0.016023,0.003682,0.009743,0.023909,0.00123,0.00409
21,2,0.0,0.0,0.0,0.0,0.0,0.0
21,3,0.015835,0.001899,0.01379,0.020506,0.00158,0.005378
21,4,0.031356,0.004477,0.022142,0.036885,0.003148,0.01089
21,5,0.01724,0.002964,0.012627,0.020816,0.001919,0.006367
21,6,0.031757,0.005616,0.022797,0.041878,0.003474,0.012067
21,7,0.0518,0.004004,0.046465,0.058637,0.006473,0.022271
21,8,0.041376,0.005757,0.035202,0.050569,0.006009,0.021404
21,9,0.0,0.0,0.0,0.0,0.0,0.0
21,10,0.022833,0.007525,0.011709,0.028275,0.005689,0.019174
21,11,0.021547,0.002984,0.017522,0.024601,0.005386,0.019362
22,1,0.017944,0.002447,0.015306,0.024555,0.001493,0.005023
22,2,0.028824,0.00497,0.021838,0.035992,0.002423,0.008472
22,3,0.037997,0.006428,0.027263,0.04597,0.00349,0.011866
22,4,0.040978,0.008803,0.023839,0.053776,0.004058,0.01399
22,5,0.018084,0.00459,0.013023,0.02644,0.002006,0.006769
22,6,0.037847,0.005666,0.031903,0.046786,0.00425,0.014356
22,7,0.0,0.0,0.0,0.0,0.0,0.0
