season,voting_phase,total_weeks,rank_accuracy,percentage_accuracy,accuracy_difference,different_predictions,different_prediction_rate
1,rank_regular,5,0.0,0.4,0.4,4,0.6666666666666666
2,rank_regular,8,0.375,0.375,0.0,7,0.875
3,percentage_regular,9,0.2222222222222222,0.3333333333333333,0.1111111111111111,8,0.8
4,percentage_regular,9,0.3333333333333333,0.3333333333333333,0.0,6,0.6
5,percentage_regular,10,0.3,0.2,-0.09999999999999998,8,0.8
6,percentage_regular,9,0.1111111111111111,0.2222222222222222,0.1111111111111111,9,0.9
7,percentage_regular,9,0.3333333333333333,0.2222222222222222,-0.1111111111111111,6,0.6
8,percentage_regular,9,0.0,0.2222222222222222,0.2222222222222222,11,1.0
9,percentage_regular,10,0.1,0.2,0.1,10,1.0
10,percentage_regular,9,0.2222222222222222,0.3333333333333333,0.1111111111111111,8,0.8
11,percentage_regular,10,0.1,0.1,0.0,10,1.0
12,percentage_regular,9,0.2222222222222222,0.2222222222222222,0.0,8,0.8
13,percentage_regular,10,0.1,0.3,0.19999999999999998,8,0.8
14,percentage_regular,9,0.0,0.5555555555555556,0.5555555555555556,9,0.9
15,percentage_regular,8,0.125,0.0,-0.125,9,0.9
16,percentage_regular,9,0.1111111111111111,0.4444444444444444,0.3333333333333333,9,0.9
17,percentage_regular,8,0.375,0.375,0.0,10,0.9090909090909091
18,percentage_regular,8,0.125,0.125,0.0,9,0.9
19,percentage_regular,9,0.1111111111111111,0.3333333333333333,0.2222222222222222,10,0.9090909090909091
20,percentage_regular,9,0.2222222222222222,0.0,-0.2222222222222222,7,0.7
21,percentage_regular,6,0.0,0.5,0.5,10,0.9090909090909091
22,percentage_regular,8,0.25,0.375,0.125,9,0.9
23,percentage_regular,8,0.125,0.25,0.125,9,0.8181818181818182
24,percentage_regular,9,0.3333333333333333,0.2222222222222222,-0.1111111111111111,6,0.6
25,percentage_regular,8,0.0,0.125,0.125,8,0.8
26,percentage_regular,4,0.0,0.0,0.0,3,0.75
27,percentage_regular,8,0.0,0.0,0.0,9,1.0
28,rank_bottom_two,7,0.2857142857142857,0.2857142857142857,0.0,9,0.8181818181818182
29,rank_bottom_two,9,0.0,0.5555555555555556,0.5555555555555556,10,0.9090909090909091
30,rank_bottom_two,9,0.2222222222222222,0.3333333333333333,0.1111111111111111,8,0.8
31,rank_bottom_two,10,0.0,0.2,0.2,10,1.0
32,rank_bottom_two,9,0.1111111111111111,0.2222222222222222,0.1111111111111111,9,0.8181818181818182
33,rank_bottom_two,7,0.0,0.0,0.0,7,0.7777777777777778
34,rank_bottom_two,8,0.125,0.125,0.0,11,1.0
